Model,Bank Marketing,Banknote Auth,Blood Transfusion,Climate Crashes,Diabetes (Pima),German Credit,Hill-Valley,Madelon,PC4 (Software Defect),QSAR Biodeg,Spambase,WBC (Breast Cancer),Global_Avg
lda1,0.9007787820509621,1.0,0.8216830211121023,0.9455276340642195,0.8357675515806525,0.788472787743174,0.9641783485279222,0.6207963463195986,0.907795365940821,0.8966013262073579,0.972191995937412,0.9924719183448026,0.887188756485752
ridge_clf,0.9034984418390376,1.0,0.8256467439785906,0.9442343660179026,0.835899570982728,0.7884692417739627,0.972666078489037,0.5721305071300486,0.9119479247750402,0.8939003549335643,0.972151763088096,0.9914867355392861,0.8843359773789411
lda2,0.8991958624275233,1.0,0.8231935771632471,0.945924026853905,0.8358389939132609,0.7836367582504922,0.990785217135575,0.5725095237333289,0.905467436668005,0.8922422391521532,0.9720363669268318,0.9899847262848803,0.8842345607091002
log_reg2,0.9036374417085077,1.0,0.8293383883437407,0.952154574197257,0.835434151026197,0.7875558490150766,0.9335440969839558,0.569588434800054,0.9229841093632484,0.9022322975891455,0.9733048413374,0.9959414751816219,0.8838096382955171
log_reg1,0.9037400133038246,1.0,0.8302007136485282,0.9158376960663546,0.8350969360708511,0.7873140505973124,0.9327761984119204,0.5696274621792661,0.9247617707935323,0.900187135303674,0.9735228270744186,0.9960203799829791,0.8807570986193886
xgboost5,0.9105677725236595,0.9998901950136557,0.7390234413717911,0.9309163279132792,0.8154271334892899,0.7782583177432963,0.5652387020880306,0.8742390408665367,0.9387183592638745,0.915888651234117,0.9753588661173548,0.9906216007529772,0.869512367364822
xgboost4,0.9185954541958316,0.9999159904707652,0.663214887501239,0.9454541348443787,0.8184438036971496,0.7904684347602803,0.5680897297650557,0.8833928108626203,0.9386900643982031,0.9209465411246335,0.9774526895374862,0.9938781146261322,0.8682118879819812
xgboost1,0.9144746147576209,0.9999484090857811,0.6780463871543265,0.9392189168103803,0.8168744862155117,0.7903360722888619,0.5695479201385485,0.8359633084137351,0.9389899449385849,0.9212505544881807,0.9757100352810438,0.9930039621482396,0.8644470509767346
log_reg3,0.9042264023172338,1.0,0.8292972544355238,0.9200539952369221,0.8353613216387195,0.7886258757932577,0.7169395157337517,0.5757561535263935,0.9286165388490369,0.9015443960373122,0.9741574575680979,0.9948745695461283,0.8641211233901981
xgboost2,0.9109614736271222,0.9999612434348344,0.626971454058876,0.9386296398948838,0.8082867731738664,0.7824115647506206,0.5732036074894618,0.894822757405147,0.9395323563746718,0.9188892549818357,0.9776039293778863,0.9936785981998434,0.8637460543974208
xgboost6,0.914007806959606,0.99976128110761,0.6668178213896323,0.9360507514166051,0.8138361995681335,0.7747780712372987,0.5533321896546091,0.8782421840637386,0.9391757515133922,0.914045111752419,0.9774713372867229,0.9928878593690998,0.8633671971099056
xgboost3,0.9092661045403511,0.9998515335177424,0.6476806422836754,0.9392448365771537,0.807966783818762,0.7744945771126028,0.5654592686991472,0.8800487170823392,0.9378296571852881,0.9160279227716401,0.9772285179395851,0.9925666041064313,0.8623054304695598
random_forest3,0.9128888155436828,0.9996643738498204,0.7157285162057687,0.939848125564589,0.835500507490952,0.7986473961581257,0.5581969087997909,0.7790941656390795,0.9264726944400289,0.9145919079059572,0.9708302606085488,0.9875634760946633,0.8615855956917505
hist_gradient_boosting,0.9076709335682428,0.9996250468691414,0.6595259688769949,0.9395205613040979,0.7933424908977527,0.7647164447379039,0.5750988465183152,0.8781815230548825,0.9358843044166432,0.913172703430685,0.9769207300070496,0.9926088745357298,0.8613557023514534
random_forest4,0.9181188441554103,0.9999095891411139,0.658508276340569,0.9292251786154225,0.8303084706450102,0.7975474120538498,0.5777701532529491,0.7887655778826684,0.9314614778500482,0.9180308043782001,0.9742171987323065,0.9915352056315484,0.8596165157232579
random_forest2,0.9149828304852786,0.9998386357891876,0.6736762810982259,0.915827687443541,0.8311294277410913,0.7962816844576501,0.5668112603339542,0.7832901291601836,0.9281603755056865,0.9152011572068997,0.9712530966740968,0.9905573497004436,0.8572508262996865
svm2,0.9050434264934961,1.0,0.8186361383685202,0.9413890941939723,0.8365906485541319,0.7840841617451059,0.6125788321406397,0.5719723616514637,0.9224366358069381,0.8998657002627922,0.9735497817743554,0.9951073387101319,0.855104509975129
gradient_boosting,0.9134480552880445,0.9999355113572265,0.7163437902666271,0.8870152746982015,0.8201710352740363,0.7748442219043077,0.531320458778551,0.7897674267243647,0.9309823786347488,0.9131045449386562,0.9739784488202957,0.9883170169476241,0.8532690136360571
extra_trees1,0.8775131567908172,0.9999935352908472,0.7021161661215185,0.9536284080643836,0.8375281925657282,0.7876935304403115,0.5605332810508773,0.6978463637711089,0.9214692273095624,0.9189238945741969,0.9731918636230107,0.9931403547334426,0.8519648311946505
random_forest1,0.906494204908472,0.9998967072574345,0.6448300128853207,0.9237396320932906,0.8253804696009363,0.7973813017375249,0.5641317844655753,0.7592042204724857,0.9222393849787415,0.9169604409742363,0.9713628713180785,0.9903141538305462,0.8518279320435536
extra_trees2,0.8772211837662626,1.0,0.6212464069778968,0.9495221524184939,0.8239272188892374,0.7780924519765721,0.5975517106166062,0.765783746256278,0.9268986631343741,0.9128111781557026,0.9757512327914424,0.9921405181791026,0.8517455385968308
log_reg4,0.9031567362504878,0.9999678032132393,0.8262102289622361,0.9490063747228382,0.8344366108869457,0.7835418730053924,0.5357971440708428,0.5842415996239214,0.9170166771574048,0.8998171029523325,0.974622689393606,0.9938048458820147,0.8501349738434385
svm1,0.909037005483706,1.0,0.7308766973932005,0.9360630697216062,0.8246711261381394,0.78897784380617,0.5898114563931641,0.6262842955194283,0.9192199371607579,0.9061027626297481,0.9731080772098005,0.9963771424062582,0.8500441178218318
ada_boost1,0.8898929730091852,0.9998129037115796,0.7896642382793142,0.923093844953601,0.8264509562167124,0.7815111636892752,0.5169795444891023,0.6611081060534353,0.9323040607470162,0.9015749094429363,0.9715165936062107,0.9932074238145963,0.8489263931677472
log_reg5,0.8954110799266003,0.9950873280799333,0.8122663296659729,0.9454006015438944,0.8315577409775908,0.7789788831419733,0.556219978433487,0.5850904277116464,0.9048199475427893,0.8959727194871547,0.9729975094957671,0.9924984078138298,0.84719174615172
ada_boost2,0.8792540088640893,0.9935755843653418,0.8145557042323323,0.9248021885521887,0.8269009436866831,0.7645360282699339,0.5268110969512793,0.6749991841815294,0.9172114957970477,0.8760181747828252,0.968205585028279,0.9904226479324124,0.8464410535536618
svm4,0.8877764303621184,1.0,0.6726444642680147,0.9385132319126223,0.7895045716217641,0.7559834562195077,0.6479430121229944,0.6149761420923996,0.9172439978804423,0.9086375657413616,0.9714613925593928,0.9939186942382587,0.8415502465849064
svm3,0.8944376503560728,0.9991997070345923,0.7494736842105264,0.9003953662642687,0.8096223373838036,0.7757963757749166,0.5590791752442571,0.6337380251756132,0.889982869544974,0.8771130915449034,0.9729730540838094,0.9948734423346804,0.8380570649127015
knn4,0.8719833540820918,1.0,0.6954376053127168,0.9215112507185679,0.8278030570028813,0.7770788550187692,0.529457896284678,0.6903777105563568,0.8830804913247611,0.8993243038104163,0.9656372405968185,0.9893734958772242,0.8375887717154401
knn2,0.8815053861547729,0.9999935352908472,0.6769323025076815,0.9278924150036955,0.8114570822256034,0.7611342821857844,0.5296294480933241,0.6257228862393311,0.8979870775805875,0.8943289689484581,0.9644198121898327,0.9887546567922945,0.8299798211010178
